に,逃げちゃだめだ,碇シンジ,新世紀エヴァンゲリオン
あ,あきらめたらそこで試合終了ですよ…？,安西監督,SLAM DUNK
い,いちばんいけないのはじぶんなんかだめだと思いこむことだよ。,ドラえもん,ドラえもん
お,おまえがナンバー１だ！！,ベジータ,ドラゴンボール
か,金は命より重い・・・・！,利根川幸雄,賭博黙示録カイジ
く,クリリンのことか―――――――っ!!!!!,孫悟空,ドラゴンボール
こ,この帽子を お前に預ける,シャンクス,ONE PIECE
し,自分を信じない奴なんかに 努力する価値はない!!!,マイト・ガイ,NARUTO
て,できるかできないかじゃねえよ。男なら、やるかやらねえかのどっちかしかねえだろが。,茂野吾郎,MAJOR
と,努力した者が 全て報われるとは限らん しかし！ 成功した者は 皆すべからく 努力しておる！！,鴨川会長,はじめの一歩
